Disciplina;Nome;Tipo;Descrição
Banco de Dados I;Videoaula: Introdução ao Modelo Entidade-Relacionamento;Vídeo;Este vídeo introdutório aborda os conceitos essenciais do **Modelo Entidade-Relacionamento (MER)**, fundamental para a fase de modelagem conceitual de bancos de dados. Ele explica em detalhes o que são entidades, como definir seus atributos e, mais importante, como estabelecer os relacionamentos entre diferentes entidades, servindo como base para a criação de um diagrama ER.
Banco de Dados I;Exercício Interativo: Identificação de Cardinalidades;Quiz;Este quiz interativo oferece diversos cenários práticos onde o aluno deve analisar os requisitos e determinar a **cardinalidade correta** (um para um, um para muitos ou muitos para muitos) dos relacionamentos propostos. O objetivo é aprimorar a capacidade de traduzir a lógica de negócios em regras de modelagem de dados precisas, fornecendo feedback imediato para cada resposta.
Banco de Dados I;Simulação: Normalização de um Banco de Dados;Simulação;A simulação permite que o usuário carregue um esquema de banco de dados desnormalizado e aplique interativamente as principais formas normais: **1FN, 2FN e 3FN**. O sistema visualiza as dependências funcionais e ajuda o aluno a identificar e eliminar anomalias de inserção, exclusão e atualização, reforçando a importância da integridade e organização dos dados.
Banco de Dados I;Guia Rápido: Comandos Básicos DDL (CREATE, DROP, ALTER);Documento;Este guia conciso é um recurso de referência para os comandos da **Linguagem de Definição de Dados (DDL)**. Ele apresenta a sintaxe e exemplos claros de como usar **CREATE** para criar tabelas e índices, **DROP** para remover objetos e **ALTER** para modificar a estrutura do esquema, sendo essencial para a construção e manutenção do banco de dados.
Banco de Dados I;Laboratório Virtual: Consultas SQL Básicas (SELECT, WHERE);Laboratório;Neste ambiente de laboratório virtual, o aluno pode executar comandos **SQL** em um banco de dados de exemplo pré-configurado. O foco é a prática das cláusulas **SELECT** para recuperação de dados e **WHERE** para aplicação de filtros, permitindo a experimentação imediata e a visualização dos resultados das consultas mais fundamentais.
Banco de Dados I;Infográfico: Passos da Modelagem Conceitual à Lógica;Infográfico;Este material visualiza o fluxo completo do processo de **modelagem de dados**, desde o levantamento inicial de requisitos até a criação do esquema relacional final. Ele destaca as transições chave, como a conversão do Diagrama ER (conceitual) para o Modelo Relacional (lógico), oferecendo uma visão holística e estruturada do ciclo de vida da modelagem.
Banco de Dados I;Estudo de Caso: Modelagem de um Sistema de Biblioteca;Estudo de Caso;O material apresenta um cenário real detalhado de um sistema de gerenciamento de biblioteca, exigindo que o aluno aplique os conceitos de **Modelagem ER** para projetar a estrutura de dados. O estudo inclui a descrição dos requisitos, a solução de modelagem proposta e a justificativa para a escolha das entidades, atributos e relacionamentos.
Banco de Dados I;Exemplo de Código: Subconsultas e Joins;Exemplo de Código;Uma coleção de trechos de código SQL comentados que demonstram o uso avançado da cláusula **JOIN** (INNER, LEFT, RIGHT) e a aplicação de **subconsultas** (queries aninhadas) no banco de dados. O foco é mostrar como combinar dados de múltiplas tabelas e como usar o resultado de uma consulta como entrada para outra, resolvendo problemas complexos de recuperação.
Banco de Dados I;Mini-Game: Construa sua Query SQL;Jogo;Este mini-game transforma a escrita de consultas SQL em um desafio divertido, onde o usuário deve **arrastar e soltar cláusulas SQL** (SELECT, FROM, WHERE, GROUP BY) na ordem correta para construir uma query válida que resolva um problema apresentado. Ele ajuda a fixar a sintaxe e a lógica de construção de sentenças SQL.
Banco de Dados I;Fórum de Discussão: Vantagens e Desvantagens do Modelo Relacional;Fórum;Este espaço é dedicado ao debate e à troca de ideias sobre as **características e limitações do Modelo Relacional** em comparação com modelos não-relacionais (NoSQL). Os alunos são encorajados a discutir as situações em que o modelo relacional é ideal (integridade, transações) e quando pode ser limitante (escalabilidade, dados não estruturados).
