Disciplina;Nome;Tipo;Descrição
Banco de Dados I;Videoaula: Introdução ao Modelo Entidade-Relacionamento;Vídeo;Este vídeo introdutório aborda os conceitos essenciais do **Modelo Entidade-Relacionamento (MER)**, fundamental para a fase de modelagem conceitual de bancos de dados. Ele explica em detalhes o que são entidades, como definir seus atributos e, mais importante, como estabelecer os relacionamentos entre diferentes entidades, servindo como base para a criação de um diagrama ER.
Banco de Dados I;Exercício Interativo: Identificação de Cardinalidades;Quiz;Este quiz interativo oferece diversos cenários práticos onde o aluno deve analisar os requisitos e determinar a **cardinalidade correta** (um para um, um para muitos ou muitos para muitos) dos relacionamentos propostos. O objetivo é aprimorar a capacidade de traduzir a lógica de negócios em regras de modelagem de dados precisas, fornecendo feedback imediato para cada resposta.
Banco de Dados I;Simulação: Normalização de um Banco de Dados;Simulação;A simulação permite que o usuário carregue um esquema de banco de dados desnormalizado e aplique interativamente as principais formas normais: **1FN, 2FN e 3FN**. O sistema visualiza as dependências funcionais e ajuda o aluno a identificar e eliminar anomalias de inserção, exclusão e atualização, reforçando a importância da integridade e organização dos dados.
Banco de Dados I;Infográfico: Tipos de Dados SQL;Infográfico;Um guia visual e fácil de consultar sobre os principais **tipos de dados** utilizados em SQL, como VARCHAR, INT, DATE, BOOLEAN e DECIMAL. O infográfico explica a aplicação e as restrições de cada tipo, auxiliando o aluno na escolha correta dos tipos ao definir o esquema da tabela.
Banco de Dados I;Estudo de Caso: Modelagem para E-commerce;Estudo de Caso;Este estudo apresenta o desafio de modelar o banco de dados para um sistema de comércio eletrônico, envolvendo complexidades como catálogo de produtos, pedidos, clientes e estoque. O material detalha a **solução de modelagem proposta**, incluindo como lidar com o relacionamento entre produtos e categorias.
Banco de Dados I;Exemplo de Código: Views e Índices;Exemplo de Código;O código demonstra a criação e o uso de **Views** (tabelas virtuais) para simplificar consultas complexas e ocultar a complexidade do esquema subjacente. Além disso, mostra como criar **Índices** para melhorar o desempenho de recuperação de dados em colunas frequentemente consultadas.
Banco de Dados I;Mini-Game: Identifique a Forma Normal;Jogo;O jogo desafia o aluno a analisar diferentes esquemas de tabelas e classificar a **Forma Normal** em que se encontram (1FN, 2FN, 3FN). O objetivo é identificar a presença de dependências funcionais parciais ou transitivas para determinar se o esquema precisa ser desmembrado.
Banco de Dados I;Videoaula: Transações e ACID;Vídeo;A videoaula explica o conceito de **Transações** como uma unidade lógica de trabalho em um banco de dados. O foco principal é detalhar as quatro propriedades **ACID** (**A**tomicidade, **C**onsistência, **I**solamento, **D**urabilidade), que garantem a confiabilidade e integridade dos dados, especialmente em ambientes multiusuário.
Banco de Dados I;Fórum de Discussão: Otimização de Consultas SQL;Fórum;Um espaço para os alunos compartilharem e discutirem técnicas de **otimização de consultas SQL** e melhoria de desempenho. Os tópicos incluem o uso correto de índices, a reescrita de subconsultas complexas e a análise do plano de execução (EXPLAIN PLAN) gerado pelo sistema gerenciador de banco de dados.
Algoritmos e Estruturas de Dados;Exemplo de Código: Merge Sort em Python;Exemplo de Código;O código demonstra a implementação do algoritmo de ordenação **Merge Sort** em Python, destacando a estratégia de **dividir e conquistar**. A explicação se concentra na função de *merge* (combinação), que é a etapa crucial para a ordenação eficiente.
